% Model:              biconAndDipole_box_12.31.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:41
% Table:              Table 8 - Global Evaluation 6
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              (emw.Zport_2) (Ω)
166.5                                             759.4890153897326                                 0.38207017363174867-759.4889192872058i
167                                               755.9867636668055                                 0.4019044416437048-755.9866568347818i
167.5                                             752.4625969915892                                 0.42506548608892486-752.4624769320124i
168                                               748.9025337479326                                 0.4514618643550111-748.902397670256i
168.5                                             745.2901037084254                                 0.4805027034053732-745.2899488137939i
169                                               741.6029147423355                                 0.5080111777699664-741.602740743972i
169.5                                             737.81460502511                                   0.5364029616448623-737.8144100383388i
170                                               733.8785693775638                                 0.5551942396706906-733.8783593696003i
170.5                                             729.7263194617207                                 0.5595865172331652-729.7261049038049i
171                                               725.2745806712156                                 0.5467989440695173-725.2743745498819i
171.5                                             720.2631667869771                                 0.5111117457089572-720.2629854398934i
172                                               714.4367775208759                                 0.46444858683727924-714.4366265540449i
172.5                                             707.0968599127041                                 0.41549628322486765-707.0967378380733i
173                                               696.5329778192145                                 0.3779877929818345-696.5328752578234i
173.5                                             676.5540124673118                                 0.3878633774219384-676.5539012877097i
174                                               590.1398835015756                                 1.05884414269759-590.1389335981271i
174.5                                             811.3404734095794                                 0.8791289514955793-811.3399971188202i
175                                               748.7542382526037                                 1.437564972720662-748.7528582303951i
175.5                                             702.2209109920824                                 7.015490792144342-702.1858662231073i
176                                               751.7075822232533                                 0.33535727897355555-751.7075074172297i
176.5                                             723.8199355197962                                 0.19534405310592012-723.8199091601329i
177                                               709.3826370146304                                 0.19172627691364583-709.382611105506i
177.5                                             623.4719765478324                                 19.48759926467732-623.1673443107879i
178                                               705.6137117086752                                 0.17310227584306692-705.6136904758123i
178.5                                             695.2244094155374                                 0.15968822858839862-695.2243910758974i
179                                               685.2084431587109                                 0.16594653885889946-685.2084230639102i
179.5                                             671.6114480886396                                 0.19700694743426997-671.6114191941514i
180                                               647.3937618095358                                 0.27929881826107855-647.3937015619414i
180.5                                             529.6483384888752                                 1.5670894204052546-529.646020182135i
181                                               825.486085148342                                  1.1231824887893134-825.4853210291704i
181.5                                             726.86044554109                                   0.31205342799446883-726.8603785561914i
182                                               593.7805879277572                                 4.770913541925219-593.7614209291544i
182.5                                             719.3239904299704                                 0.26082336861336114-719.3239431433286i
183                                               704.1593561473139                                 0.22441808359419962-704.1593203858936i
183.5                                             695.8088643669059                                 0.23587278705202167-695.8088243875552i
184                                               689.411507288959                                  0.26200685442229177-689.4114575018626i
184.5                                             683.6706840402026                                 0.33078990574223854-683.670604014855i
185                                               604.210993943987                                  22.15994981622406-603.8044897373015i
185.5                                             678.7879615232412                                 0.39725861603463525-678.7878452760252i
186                                               673.9773767684145                                 0.4580504749044535-673.9772211175951i
186.5                                             669.9034728234183                                 0.5369223470329852-669.9032576538717i
187                                               670.2233377484673                                 2.095067232403872-670.2200632299721i
187.5                                             663.5431607922792                                 0.8682242490892593-663.5425927706991i
188                                               660.1493635399889                                 1.0182217897466053-660.1485782811619i
188.5                                             656.9626223878835                                 1.200584051727768-656.9615253671249i
189                                               653.9020031712489                                 1.3892517591815432-653.9005273976476i
189.5                                             650.9316062424646                                 1.5584925123167828-650.9297405300237i
190                                               648.0069234125433                                 1.6826544929878824-648.0047387669684i
190.5                                             645.0600011336797                                 1.7454663688653587-645.0576396026468i
191                                               641.9957094889775                                 1.7465675412259456-641.9933336913083i
191.5                                             638.5756765881504                                 1.7001435817995179-638.5734133534023i
192                                               634.4657515291683                                 1.6288937130255559-634.4636605580686i
192.5                                             625.6658429225614                                 1.6091661695865356-625.6637735910862i
193                                               658.2973563929073                                 1.8417003119272362-658.2947801508466i
193.5                                             636.0692057649674                                 1.3319496866036313-636.0678111903704i
194                                               630.7752326996709                                 1.2351461945086561-630.7740234039463i
194.5                                             626.9300212939637                                 1.1581310688546578-626.9289515822962i
195                                               623.404846530249                                  1.0980827825456283-623.4038794325921i
195.5                                             620.0685342650738                                 1.037958527590685-620.067665523475i
196                                               616.2406377631261                                 1.002898144411928-616.2398216814752i
196.5                                             611.23310007529                                   1.0154029997777712-611.2322566622262i
197                                               611.8564082857602                                 0.9256491139857141-611.8557080996046i
197.5                                             607.6365552632968                                 0.8912299665579327-607.6359016725331i
198                                               603.4435343304824                                 0.8715853562543916-603.4429048917808i
198.5                                             596.9420918249467                                 0.903300620705284-596.9414083813685i
199                                               596.4595731148049                                 0.8580220607913879-596.4589559713547i
199.5                                             587.0199645977269                                 0.8871904871508436-587.019294171287i
200                                               621.7280364374583                                 1.3927955747533047-621.7264763646988i
200.5                                             576.1942821882873                                 0.9810838449429333-576.1934469437889i
201                                               616.9134230999583                                 3.0294301033928708-616.905984858436i
201.5                                             547.0766807112791                                 1.1419120593398766-547.0754889546045i
202                                               638.4044362569005                                 1.2679107551280722-638.4031771810098i
202.5                                             608.7979253151526                                 0.8801166138504738-608.7972891388234i
203                                               590.1382498826711                                 0.8164617199222954-590.1376850912351i
203.5                                             578.7960350027114                                 0.8302454821253601-578.7954395356786i
204                                               565.0291060722475                                 0.8714212510541686-565.0284340931935i
204.5                                             532.6986600013172                                 1.054901182634561-532.6976154918415i
205                                               918.4162327993837                                 8.117207132977297-918.3803610801856i
205.5                                             613.9946202171536                                 0.9228379931484504-613.9939267009448i
206                                               589.7679547838651                                 0.9008907308853984-589.7672667127553i
206.5                                             575.4951110175039                                 0.939873211356442-575.494343537272i
207                                               558.7775392681357                                 1.0334742190306334-558.7765835480147i
207.5                                             503.7457957644484                                 1.744446301870725-503.7427752905815i
208                                               634.8383959517228                                 1.5028643921264293-634.8366170702311i
208.5                                             583.138480320203                                  1.2127504452314157-583.137219243047i
209                                               573.4605761251825                                 1.1344353449957072-573.4594540386219i
209.5                                             542.4784603114156                                 3.772798980916881-542.4653407266621i
210                                               582.2640786825943                                 2.5150099921401274-582.2586470365467i
210.5                                             495.5284514006469                                 1.9059926426011335-495.5247857974106i
211                                               654.3111679700754                                 0.989078414820752-654.3104204078165i
211.5                                             598.2765883220933                                 0.6658984489509716-598.2762177402501i
212                                               580.3381817016675                                 1.2946789363245061-580.3367375474772i
212.5                                             573.7118050378322                                 1.27902649545781-573.7103793125862i
213                                               561.66387555111                                   1.970585140672365-561.6604186635338i
213.5                                             573.0750626288905                                 0.926751769760729-573.0743132773131i
214                                               563.6021418419716                                 0.6882928598496573-563.6017215568073i
214.5                                             558.2289534116488                                 0.6253488932582811-558.2286031419624i
215                                               553.6470770082476                                 0.6158321239449233-553.6467345072773i
215.5                                             548.8560536252376                                 0.1601930976766038-548.856030247679i
216                                               543.1070099154598                                 0.23935785483719643-543.1069571706191i
216.5                                             540.10456912007                                   1.2465765595606129-540.1031305512472i
217                                               523.6409249726985                                 0.30907520243457065-523.6408337580087i
217.5                                             1658.6689674475085                                1268.0223063496076+1069.2530917295524i
218                                               558.9958368547996                                 0.8312864442202-558.9952187486449i
218.5                                             544.191664850405                                  2.1845801510517946-544.187279989361i
219                                               537.6314148056586                                 4.548297350421687-537.6121754361095i
219.5                                             534.4869599828128                                 6.738691343353892-534.44447834237i
220                                               532.6069061641185                                 7.583914869931528-532.5529088540967i
220.5                                             530.8748559080474                                 7.336998553122752-530.8241526980677i
221                                               528.0409054674957                                 6.71962040960585-527.9981482434229i
221.5                                             522.4814357594233                                 6.15696020530705-522.4451574608178i
222                                               529.4621504281945                                 5.471399065352997-529.4338792789102i
222.5                                             521.7640475271407                                 4.961971693862739-521.7404528391619i
223                                               502.4273709983005                                 5.353704311346637-502.39884651381374i
223.5                                             513.8987744025275                                 4.134268418014012-513.8821442286817i
224                                               504.0932173315816                                 3.8689402341009087-504.07836995964243i
224.5                                             469.08412648447353                                4.3315563362846525-469.0641271078051i
225                                               232.63786074194806                                21.189096827711843-231.67087953865905i
225.5                                             549.9053296624825                                 3.028090609594163-549.8969924071813i
226                                               528.3657793925465                                 2.751957023430613-528.3586126539761i
226.5                                             518.5668572322966                                 2.588017565306959-518.560399167602i
227                                               508.1005629161236                                 2.4950788239878303-508.0944367116646i
227.5                                             463.7886394727378                                 5.807465525334834-463.7522781056124i
228                                               500.4469154636228                                 2.7344274128163324-500.4394449918776i
228.5                                             512.6262443477802                                 2.063541289455334-512.6220910099922i
229                                               515.4116549817423                                 3.5044204681780724-515.3997411021865i
229.5                                             494.89451047668314                                2.0809467494940006-494.89013544480923i
230                                               505.88893727347863                                1.8432188759914057-505.8855793555147i
230.5                                             512.1093535945312                                 1.9293101328976325-512.105719360192i
231                                               499.6967210654411                                 1.648786607031246-499.6940009108352i
231.5                                             495.36924209643234                                1.5943281927407837-495.3666764456483i
232                                               491.32764383143314                                1.5539787047216576-491.3251863512931i
232.5                                             486.6230438630666                                 1.5316381961592358-486.6206334538149i
233                                               478.06702924041                                   1.5928794048362374-478.0643755624892i
233.5                                             256.73339197598705                                255.39573647794987+26.17350462550646i
234                                               498.76337053395173                                1.3931512559032908-498.761424847558i
234.5                                             488.9952580030158                                 1.2857152108046772-488.9935677346203i
235                                               483.81882746112666                                1.2227395220928325-483.8172823638285i
235.5                                             474.631942805632                                  1.2083183855553394-474.6304047341761i
236                                               478.7471777801934                                 1.1756142288678466-478.7457343556024i
236.5                                             474.58197956160143                                1.0315910628143736-474.58085838399273i
237                                               472.12014366001785                                0.9304950950946255-472.1192267091374i
237.5                                             466.7325471552106                                 0.7800968245586688-466.7318952278012i
238                                               460.927540363368                                  0.7164199379944072-460.92698359707333i
238.5                                             450.91622845531253                                0.7855928930960856-450.91554411904i
239                                               395.61613130132156                                1.8130659221898338-395.6119767370375i
239.5                                             476.0797986687231                                 3.0190710761540758-476.07022581788186i
240                                               465.62458229946157                                59.04398498650083-461.8658457587678i
240.5                                             532.6889397421555                                 128.60346375146696-516.931964222321i
241                                               477.77605566933596                                2.481325880629353-477.76961225346105i
241.5                                             466.9466101179729                                 0.93818311561557-466.94566762430486i
242                                               460.0949940961616                                 0.5308670748653527-460.0946878333805i
242.5                                             453.72109604354284                                0.3567650807435221-453.72095577968514i
243                                               444.50961994198605                                0.3050310516972236-444.5095152828861i
243.5                                             431.7828718534469                                 0.309092669006598-431.78276122111697i
244                                               4252.842088903532                                 3005.4795360807348-3008.9464254700997i
244.5                                             465.6884610546116                                 0.2372372414017046-465.68840062632415i
245                                               448.44760508612524                                0.165968044759321-448.44757437418417i
245.5                                             433.29416389910955                                0.18873897055527447-433.29412279262385i
246                                               329.4986629451621                                 5.101710054692782-329.45916505261675i
246.5                                             447.1776924542682                                 0.37102951577064525-447.1775385300815i
247                                               603.2208412871228                                 131.3055799116284+588.756509982875i
247.5                                             481.97144463341925                                0.21325161703717566-481.97139745608655i
248                                               461.1280427708294                                 0.12482122184711983-461.12802587710763i
248.5                                             452.4785928802838                                 0.1461741959067016-452.4785692693369i
249                                               444.45937919938865                                0.10823138680803626-444.45936602154404i
249.5                                             436.8074442616618                                 0.12056826778930094-436.8074276219414i
250                                               435.234515684663                                  0.2745421203413032-435.23442909527193i
250.5                                             374.4083973579658                                 1.8840369770891436-374.40365705589653i
