% Model:              biconAndDipole_box_12.31.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:38
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              (emw.Vport_1) (V)
144.5                                             0.010453661969668624                              -0.009445330236021092+0.004479373316503308i
145                                               0.011294417822604045                              -0.009912332185322458+0.0054138290146047655i
145.5                                             0.008744312778205188                              -0.00751572464067017+0.004469551329686883i
146                                               0.008790898474388778                              -0.007344235561946391+0.004831366266145939i
146.5                                             0.008624464326369747                              -0.006999978150820306+0.0050380244942698224i
147                                               0.008507054883336576                              -0.00670120936795194+0.005240589260281121i
147.5                                             0.008943160454271529                              -0.006812924426966141+0.005793460076956965i
148                                               0.006670576067376303                              -0.004972541151006147+0.004446393996510428i
148.5                                             0.007116132632450072                              -0.005129852856652163+0.004931932005991002i
149                                               0.007041894667667182                              -0.004914420074144051+0.005043486477167305i
149.5                                             0.006905403070278893                              -0.004663552226675585+0.005092727382462795i
150                                               0.006757455530380653                              -0.004413334414138297+0.005117194992772373i
150.5                                             0.006611495268093665                              -0.004172460946281324+0.005128590384480132i
151                                               0.006472379099800466                              -0.00394337718552716+0.005132393942810488i
151.5                                             0.006342201861162665                              -0.0037265386088165334+0.005131903588799668i
152                                               0.006222077284628458                              -0.003521685528786327+0.005129520130794538i
152.5                                             0.006112902356510854                              -0.0033283450064468477+0.005127347729411014i
153                                               0.00601589842634603                               -0.0031461092657756656+0.00512767299697564i
153.5                                             0.005933443157020777                              -0.0029749464016491497+0.00513375511734943i
154                                               0.005870725880531861                              -0.002815616486733811+0.005151478056245542i
154.5                                             0.005843128768755716                              -0.0026711035262778+0.005196860567704986i
155                                               0.005888616813524379                              -0.002590286809256853+0.005288309958986138i
155.5                                             0.006745456820649219                              -0.0027421962947914357+0.006162917101509251i
156                                               0.004716151993199643                              -0.0018812194824000248+0.0043247084158356324i
156.5                                             0.005100012851471308                              -0.0019083222341204785+0.004729528236085912i
157                                               0.0051558787275625                                -0.0018092775127403406+0.004828001691717146i
157.5                                             0.005160545377629678                              -0.0016908298768808518+0.004875686917965726i
158                                               0.005151657130620352                              -0.0015664560096207887+0.004907727250102071i
158.5                                             0.00514006955720432                               -0.001439384625984436+0.0049344186031768985i
159                                               0.00513008249167526                               -0.0013103453288409595+0.0049599134559564365i
159.5                                             0.00512362800703107                               -0.0011791276301642106+0.0049861028856429054i
160                                               0.005116462423900853                              -0.0010429292184999564+0.005009040465038036i
160.5                                             0.005122094662413224                              -9.06822829624657E-4+0.005041183004652139i
161                                               0.0051211591917865095                             -7.628418295434771E-4+0.0050640244678238095i
161.5                                             0.0050831095126568065                             -6.081323631687882E-4+0.005046600573309607i
162                                               0.0056661462401377954                             -5.20331420896188E-4+0.005642204217064093i
162.5                                             0.005328523181109704                              -3.038259481445621E-4+0.00531985423530171i
163                                               0.005459385559830999                              -1.2609722660495055E-4+0.005457929110966335i
163.5                                             0.005475325659312703                              7.394427101601898E-5+0.005474826327867579i
164                                               0.005524641895813663                              2.881648829563173E-4+0.0055171214484738655i
164.5                                             0.005636736474110236                              5.292212741041944E-4+0.005611837749044446i
165                                               0.005758678831058696                              7.999197393895071E-4+0.00570285106677516i
165.5                                             0.005902068216529484                              0.001108265014281618+0.00579708184267627i
166                                               0.006069498640046743                              0.0014634565574871863+0.005890425166817503i
166.5                                             0.006262977703455266                              0.001876305450297759+0.005975313177663638i
167                                               0.006483985893762055                              0.002359242613382774+0.006039540327020272i
167.5                                             0.006732585581069193                              0.002925403256190467+0.00606380444894878i
168                                               0.007006039699658781                              0.003586231971218626+0.006018598883611058i
168.5                                             0.007297046493448392                              0.004347188179579426+0.005860788552649924i
169                                               0.007568514983125903                              0.005156518598140077+0.0055401024355905895i
169.5                                             0.007842909927125146                              0.006063507578522296+0.004974445895795918i
170                                               0.008034986356424289                              0.006895939395913428+0.0041239575162474226i
170.5                                             0.008107617256704877                              0.007540075223827747+0.002980054227734398i
171                                               0.008020228061034453                              0.007854052580076666+0.0016241663154971263i
171.5                                             0.007760833968485099                              0.007757661761191061+2.2187357964885006E-4i
172                                               0.007358461807239956                              0.007284614929908136-0.001039877632978321i
172.5                                             0.006874527759944141                              0.006565585198797415-0.0020377003998563953i
173                                               0.0063876174958738445                             0.0057646205175025935-0.0027515100513684806i
173.5                                             0.006010335643374453                              0.0050447584502514055-0.003267192483560531i
174                                               0.006465887870292009                              0.004950132863389068-0.004159794536510772i
174.5                                             0.0038979030001715827                             0.0027888128338554373-0.002723264727577881i
175                                               0.004024320760108063                              0.002607675783312986-0.0030651565358656226i
175.5                                             0.00417693054186723                               0.002425387073097492-0.0034006243981414427i
176                                               0.0033841392468536985                             0.0017968427406245397-0.002867708947498056i
176.5                                             0.003370745848312494                              0.001599109521576815-0.0029672843328400946i
177                                               0.0033082479804921426                             0.0013935992611305854-0.0030003976069525565i
177.5                                             0.0038427396791580765                             0.0012289921554708505-0.0036409101229729676i
178                                               0.0031205204474068406                             0.0010101229849798878-0.0029525073103888345i
178.5                                             0.0031463279730517472                             8.702368150542972E-4-0.003023585222832667i
179                                               0.0032051771898157543                             7.389523567248895E-4-0.0031188315492514094i
179.5                                             0.0033266885232218248                             6.146959674503049E-4-0.003269404440893806i
180                                               0.003569255089597429                              4.924854402678522E-4-0.0035351152719170745i
180.5                                             0.004809964940182104                              3.55628200851037E-4-0.004796800111380553i
181                                               0.0026651016103595936                             1.7327593763231532E-4-0.0026594627357755815i
181.5                                             0.003387473330734676                              4.593562485043725E-5-0.0033871618628002233i
182                                               0.004700083429095492                              -2.69553214611445E-4-0.004692347526020496i
182.5                                             0.0038816736580136123                             -3.1136603273844177E-4-0.0038691654889618644i
183                                               0.004289817646195955                              -5.611144851593601E-4-0.0042529620233619i
183.5                                             0.004709291074446973                              -8.624652990574688E-4-0.004629641026233852i
184                                               0.005181014947503815                              -0.0012337644055344565-0.0050319719075024825i
184.5                                             0.00573363237178852                               -0.0016989247099154173-0.005476147825329413i
185                                               0.007887808406795909                              -0.0033604352232829535-0.0071361752061198346i
185.5                                             0.006960258736908677                              -0.002951617777455365-0.006303424004501286i
186                                               0.007750036403293373                              -0.0038353599418831158-0.006734469419974436i
186.5                                             0.008532619396222199                              -0.004865711851019055-0.0070093110890899965i
187                                               0.013273866502771707                              -0.007745053903373592-0.010780058996463901i
187.5                                             0.011331639687932027                              -0.008250848598832173-0.007767210272437938i
188                                               0.01244919558708105                               -0.01007134948320561-0.007317813222031044i
188.5                                             0.013667832308513558                              -0.012071164561068073-0.006410665032058788i
189                                               0.014836413807817693                              -0.014009416034338007-0.00488420280635813i
189.5                                             0.015832396677277063                              -0.015594967000456095-0.0027316275004727946i
190                                               0.01655338642156555                               -0.016552944198278907-1.2099748069862833E-4i
190.5                                             0.01694680445211176                               -0.016739616439696122+0.0026418596840048674i
191                                               0.01702594013186924                               -0.01620206950286411+0.005232167925282631i
191.5                                             0.016862047199933897                              -0.015137701923411009+0.007428231031056939i
192                                               0.01655160856156028                               -0.013788292225064686+0.009156349900005804i
192.5                                             0.016314751502884334                              -0.012447322493984095+0.010546813705172959i
193                                               0.014597242741168928                              -0.010148856376527085+0.010491911641509115i
193.5                                             0.014769907991018169                              -0.009243155643918784+0.011520167351450877i
194                                               0.014400171759370724                              -0.00806637774833107+0.011928893356913184i
194.5                                             0.014019659125549094                              -0.006984092259192395+0.012156204066717573i
195                                               0.013667299394596516                              -0.0060111344322632525+0.012274417932382677i
195.5                                             0.013364185227665996                              -0.005143566979444519+0.012334713840512638i
196                                               0.013108595473350523                              -0.004365200311083717+0.012360432902130104i
196.5                                             0.012930764429944256                              -0.003668078964799527+0.012399591342084902i
197                                               0.012657842618811617                              -0.003008781742811464+0.012295048279154017i
197.5                                             0.01253474091138283                               -0.0024208568496065924+0.012298747165024871i
198                                               0.012449671061165483                              -0.0018718640866385884+0.012308145041897011i
198.5                                             0.012467784716319883                              -0.0013550649901958433+0.012393928134568362i
199                                               0.012362922931771625                              -8.570202657026075E-4+0.012333182058215948i
199.5                                             0.01263317532576352                               -3.7292266308476606E-4+0.012627669915658946i
200                                               0.010181369196395706                              6.322986193733683E-5+0.010181172854729201i
200.5                                             0.011870291574145193                              5.393168775887063E-4+0.011858033536837814i
201                                               0.011337062988207426                              9.244148164862596E-4+0.011299312122675582i
201.5                                             0.013379492676584013                              0.0016431479573477366+0.013278211064485651i
202                                               0.010748008673623384                              0.001561711981455932+0.010633943113222888i
202.5                                             0.01153036991508309                               0.0021144392906804633+0.01133483907537641i
203                                               0.01206842685702473                               0.002665517533363097+0.011770384151874131i
203.5                                             0.012445796183945533                              0.0032060793374844953+0.012025759765356539i
204                                               0.012937109756713094                              0.0038155432964432855+0.012361651920767217i
204.5                                             0.01412143693756422                               0.004743080145109192+0.013301059052521874i
205                                               0.0060941234676102395                             0.002119265509483829+0.005713760105113803i
205.5                                             0.011804946681114608                              0.004673447395474497+0.010840463808605766i
206                                               0.0126621483974154                                0.005517934675795664+0.011396595937025284i
206.5                                             0.013309938746466384                              0.006326990417215014+0.011709981285004539i
207                                               0.014135437758660534                              0.0073002884221512335+0.012104395465382424i
207.5                                             0.016673016978585198                              0.009442443959624583+0.013741533656675282i
208                                               0.012443900509519816                              0.007363372377237638+0.010031520678589128i
208.5                                             0.014676307874620651                              0.009490493658922999+0.011194844480411264i
209                                               0.012258114560030139                              0.00915964178464017+0.008146308056039666i
209.5                                             0.026386371963406593                              0.02024369720760661+0.01692434190029231i
210                                               0.015539569000241652                              -0.006420804798606442-0.014151023653837337i
210.5                                             0.004227064258422122                              -0.0010020439654904372-0.0041065776671157656i
211                                               0.006720566689793755                              0.005085651917412435+0.004393422493556089i
211.5                                             0.008628113994284124                              0.007020179075610391+0.005016117706426313i
212                                               0.006669162923338187                              0.0054832523210649456+0.0037962716027129364i
212.5                                             0.014998799029468038                              0.012507366039638165+0.008278270778180507i
213                                               0.013590375193210982                              0.012374497564445931+0.005618728318736023i
213.5                                             0.010277554454883698                              0.009735977118735068+0.003292244692693261i
214                                               0.011063181649729076                              0.010815975823756544+0.002325651563501311i
214.5                                             0.0109157839147893                                0.010895957367996726+6.576104539700199E-4i
215                                               0.010831722819648806                              0.010415892092117126-0.0029724419535245112i
215.5                                             0.003329159240639108                              0.003069156957969519+0.0012897971999039411i
216                                               0.004623255610731535                              0.004619352227319775+1.8994062787210816E-4i
