% Model:              biconAndDipole_fullFeature_addCablesV2_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 5 2022, 16:48
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              Lumped port voltage (V)
155.5                                             0.0052574690539532185                             -0.0021612587316784627+0.00479269668850631i
156                                               0.0030842550603972793                             0.0012326591081671418-0.002827221392222196i
156.5                                             0.006444795054503706                              -0.002526813477758811+0.00592879388604224i
157                                               0.003757088874648723                              -0.0013394192466760027+0.0035102240517726354i
157.5                                             0.003113176274654361                              -0.0010183143715416238+0.0029419215417448834i
158                                               0.0022775625301225105                             -6.638851026512144E-4+0.0021786573041889445i
158.5                                             0.009156606229125976                              -0.0038444951732753813+0.008310432870671115i
159                                               0.004037768293487515                              -0.0011278201991186385+0.0038770600189258196i
159.5                                             0.0036239701457370845                             -8.834703840834853E-4+0.0035146322279352425i
160                                               0.003452134798879266                              -7.351922171884098E-4+0.0033729404194884293i
160.5                                             0.003434552078974674                              -6.244749028152876E-4+0.003377303521885928i
161                                               0.0032441569243120455                             -4.917364250664576E-4+0.003206672642759883i
161.5                                             0.0032305064957921497                             -3.846024414728308E-4+0.003207530698429621i
162                                               0.003340032422484609                              -2.801492382665497E-4+0.003328262758188884i
162.5                                             0.00263498040678185                               -1.2490852695727368E-4+0.002632018161794786i
163                                               0.002386472561668126                              -1.4809724465944888E-5+0.002386426608897929i
163.5                                             0.011906047262725475                              -0.001145796660870892+0.011850785266563135i
164                                               0.00430858767714853                               2.575844346291589E-4+0.004300881076095099i
164.5                                             0.004065163302573494                              4.552001892664886E-4+0.004039597190844898i
165                                               0.004088181767163855                              6.780747662679072E-4+0.004031556122978037i
165.5                                             0.004213519028805198                              9.4627310555177E-4+0.004105887214209969i
166                                               0.004419196973169617                              0.0012803651816190088+0.004229653282406163i
166.5                                             0.004735009061654657                              0.0017191445286087548+0.004411899013316862i
167                                               0.005529101333897151                              0.0024940427127960224+0.004934644111509188i
167.5                                             0.004499093262262137                              0.002368264014381632+0.003825332108551826i
168                                               0.005270459969050687                              0.003331370995961478+0.004084080750013692i
168.5                                             0.005803860552671775                              0.004412259528509459+0.0037705123216795096i
169                                               0.006156084276893108                              0.004620161297982242+0.004068351411178438i
169.5                                             0.0064896716909576815                             0.00579863223609705+0.002914052649989987i
170                                               0.006670156854807056                              0.006447127906497488+0.0017104193126221644i
170.5                                             0.0065940752009419805                             0.006584763440247723+3.5031156369008226E-4i
171                                               0.006424190632837364                              0.006358366732558198-9.172773742617448E-4i
171.5                                             0.0059148182463876825                             0.005599564386171446-0.001905243704338388i
172                                               0.004896918065258805                              0.0042899861562010295-0.00236131855484633i
172.5                                             0.006317062087447945                              0.005280123611838802-0.0034677900830895956i
173                                               0.004519610422984917                              0.0033537592975928436-0.0030297156548698525i
173.5                                             0.0020984490527626255                             0.0013960160334775557-0.0015667251390444822i
174                                               0.018702087225803313                              0.011146931573506259-0.015017122996670323i
174.5                                             0.006574221076571513                              0.0031779364957598296-0.005755093604152311i
175                                               0.003985348854987404                              0.0011145531177384708-0.0038263268082704156i
175.5                                             0.015893047537222874                              0.015872992333581207-7.98169404636857E-4i
176                                               0.008658636296895731                              0.004905891113210298-0.007134718978855751i
176.5                                             0.007685856728452462                              0.003463381334752061-0.006861296042322399i
177                                               0.0076845850974758614                             0.002899694691778604-0.007116503271608823i
177.5                                             0.0029018009044700192                             8.325786558166215E-4-0.0027797951850921697i
178                                               0.006783100228732656                              0.0018298957635039044-0.0065316100777483245i
178.5                                             0.007496125051111719                              0.0016498416384757822-0.007312312448867063i
179                                               0.009152787717726282                              0.001547346861702906-0.009021044323987065i
179.5                                             0.008841932942561428                              0.0010454589531871423-0.008779908526741827i
180                                               0.0051692593885902275                             4.7524047069482295E-4-0.005147367202904994i
180.5                                             0.010267232340242663                              3.799650855877597E-4-0.01026019914340161i
181                                               0.005456614785835372                              -2.255569692967894E-4+0.005451950932886213i
181.5                                             0.0018730461194460522                             -7.479619682342597E-5-0.001871552108415009i
182                                               0.039318327469112985                              0.005411588231702132-0.038944134189617154i
182.5                                             0.008375954820259554                              -9.817369319818042E-4-0.008318221669768859i
183                                               0.008452420805830807                              -0.0014686254531377746-0.008323854681410373i
183.5                                             0.008927135536820719                              -0.0020479751409020596-0.008689047514832368i
184                                               0.009448473319903278                              -0.00273930831070785-0.009042667640459367i
184.5                                             0.01276006724505057                               -0.0031088994982819184-0.012375542816692724i
185                                               0.011930407457179607                              -0.0047370595419005705-0.010949652459818784i
185.5                                             0.012803921647202808                              -0.005998383332244579-0.011311932060755982i
186                                               0.014209322459287688                              -0.007716839072232678-0.011931271494911203i
186.5                                             0.01602969349192071                               -0.00997891291790888-0.012544814483351933i
187                                               0.0196777538148041                                -0.014002479231317453-0.013825504351471618i
187.5                                             0.008681401021976974                              -0.006870738914790449-0.005306568615326388i
188                                               0.0166616369354775                                -0.01427687586582604-0.008589584441721384i
188.5                                             0.018834975027812697                              -0.01745833539715824-0.007068437554273191i
189                                               0.020173308051285213                              -0.019713456357078028-0.004282755677087914i
189.5                                             0.020855865597516326                              -0.02084463807679464-6.842464973297677E-4i
190                                               0.020819229851578202                              -0.020575464439295664+0.0031765696466667563i
190.5                                             0.019980077683363857                              -0.018840431229005413+0.006651440095075051i
191                                               0.01809218824084336                               -0.015637831094667723+0.009098654515737698i
191.5                                             0.0137644892167885                                -0.01021438544856542+0.009226456161886961i
192                                               0.01858170170285677                               -0.006081357902568407-0.017558380455919585i
192.5                                             0.02923174491810279                               -0.024205796639627877+0.016388237244987884i
193                                               0.03072668659700151                               -0.01873991313701411+0.024350460464794468i
193.5                                             0.018667096877442696                              -0.010855184429872804+0.015186358247627305i
194                                               0.02603235869782022                               -0.011249544590465635+0.023476188913005056i
194.5                                             0.014454262361026904                              -0.005364039637835273+0.013422100400650082i
195                                               0.016611998167243954                              -0.0032918332120739674+0.016282577105986733i
195.5                                             0.031964460704249985                              -7.873797932928115E-4-0.031954761478919784i
196                                               0.01147231666430039                               -0.0040339213315626656+0.010739717330393203i
196.5                                             0.008663217570183807                              -0.0036157513914100896+0.007872590459553795i
197                                               0.007681987948180099                              -0.002245737922798641+0.007346400480377335i
197.5                                             0.006540211310858751                              -0.001586099215443134+0.006344970706745257i
198                                               0.028524536618178793                              -0.007365229289562806+0.027557260146719758i
198.5                                             0.014111336855684919                              -0.0016542998817514185+0.014014032958283237i
199                                               0.01917742170771345                               -0.014153683585848457-0.01294012149506963i
199.5                                             0.013290330931050252                              -8.235108789815252E-4+0.013264792726953186i
200                                               0.013548969627113092                              -8.199679951330938E-6+0.013548967145937056i
200.5                                             0.014445837734064578                              7.377373805728468E-4+0.014426987606435016i
201                                               0.015384398853086132                              0.0015059829318424982+0.015310510882391774i
201.5                                             0.023128815737734027                              0.0035462211653322032+0.022855337076416158i
202                                               0.0017143403420356326                             3.5150476352456854E-4-0.001677917521676911i
202.5                                             0.02085351851662163                               -2.7615420134214872E-5-0.020853500231655404i
203                                               0.007654460978974051                              0.0018308546570354703+0.007432277181553977i
203.5                                             0.009258854190644254                              -0.001433545202348749-0.00914720334727689i
204                                               0.001069371839995537                              -2.1876430303199287E-4-0.0010467560899724284i
204.5                                             0.0021518932782143476                             -7.538293039725331E-4-0.002015536172162727i
205                                               0.003143249969820653                              0.0011236288170386837+0.002935554232900115i
205.5                                             0.002878837744509947                              0.001155042553368171+0.0026369648194702667i
206                                               0.0026585999778409256                             0.00117485411140357+0.0023849259231879505i
206.5                                             0.001982098601892515                              9.593656286258093E-4+0.0017344545131642017i
207                                               0.001765671756963557                              -9.475693316153893E-4-0.0014898688248032909i
207.5                                             0.006907442027044948                              0.0038668727807603495+0.005723639598577249i
208                                               0.007606323540426222                              0.004379425476487235+0.006219066674151085i
208.5                                             0.005043363112908088                              0.0031759568238217194+0.003917755702167022i
209                                               0.011091007662010887                              -3.880362177335118E-4-0.011084217557072366i
209.5                                             0.0010081963115679638                             9.659884821089934E-4+2.8866252803578347E-4i
210                                               0.0027016629349685445                             0.0020935637155132854+0.00170762220156247i
210.5                                             0.014924961402435053                              0.013330430438322775+0.006712234888113927i
211                                               0.03561330900722166                               -0.03558034194669537-0.0015320069843459759i
211.5                                             0.0030946764333048913                             -0.0024196971159960966-0.001929271389331438i
212                                               0.0026930203397040452                             -0.002364870666799017-0.0012883110181059793i
212.5                                             0.004045104580722722                              -0.002256566245183443-0.003357198214297549i
213                                               0.01603691619428102                               -0.013476420156129754-0.008693030587651958i
213.5                                             0.00812665998614085                               -0.007540635472432259-0.003030085675725873i
214                                               0.009802245461263579                              -0.009483715467262191-0.002478539291371898i
214.5                                             0.014237891617863128                              -0.014200116217171151-0.0010364637672634696i
215                                               0.03617196966460616                               -0.011473445495591558+0.034304102347632974i
215.5                                             0.003344361207652039                              -0.0033255481430146537-3.5423358923116285E-4i
216                                               0.00963807784364561                               -0.009637464586487123-1.0872379858609566E-4i
216.5                                             0.014046885854559456                              -0.01392196749424391+0.0018691771719766092i
217                                               0.01894617355454888                               -0.018138289727211303+0.005473567221732845i
217.5                                             0.03022509747951266                               -0.025573289578289016+0.01611097072776861i
218                                               0.0312730062243073                                -0.02533685326877169+0.018331524343117148i
218.5                                             0.04470851573087554                               -0.025944674429332924+0.03641051012570222i
219                                               0.07403471611662146                               0.02791359576333002+0.0685709148402596i
219.5                                             0.08395215129313419                               0.0357885644110217+0.07594170372162744i
220                                               0.03154158944826132                               0.0053527026770360045+0.03108408658741513i
220.5                                             0.03646612162906655                               0.025138260593669044+0.026416772720956307i
221                                               0.034720107367057315                              0.03136961687537354+0.014880624740657468i
221.5                                             0.018076519427911733                              0.017907122437440432+0.002468910820217638i
222                                               0.045875886467461484                              0.045722641119436615+0.003746604894917514i
222.5                                             0.019247471617045712                              0.018973485286614074-0.0032360500193321317i
223                                               0.03643051800389306                               0.035541675561147575-0.007998246078866398i
223.5                                             0.02048572577178947                               0.01857077650889467-0.008648191733168569i
224                                               0.013894469479485317                              0.011711482729809534-0.0074764600169948065i
224.5                                             0.0029803152469478713                             -0.0019051636805783028+0.0022918617587881006i
225                                               0.031091832615000824                              0.023931495915395222-0.019849069464603394i
225.5                                             0.01476589440566746                               0.009875934251939193-0.010977138071951898i
226                                               0.007795958163714327                              0.004635672379959477-0.00626797457525674i
226.5                                             0.031214407604198618                              0.017927847625392162-0.025552524759830938i
227                                               0.019822023978859477                              0.00919749863916653-0.017559004909191465i
227.5                                             0.017204730886322753                              0.006097740881476456-0.016087893616417246i
228                                               0.004968107213357291                              0.0015420340003911657-0.004722734422455953i
228.5                                             0.006651635714898655                              0.001507807016325285-0.006478485601221599i
229                                               0.006199824300374845                              8.428565313021787E-4-0.006142264584268549i
