% Model:              biconAndDipole_fullFeature_addCablesV1_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 2 2022, 12:52
% Table:              Table 10 - tickle Impedance
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              Lumped port impedance (Ω)
149.5                                             876.4051572617968                                 3.7013391739246684-876.3973412576024i
150                                               869.861896766543                                  3.591965234714602-869.8544804920192i
150.5                                             863.9844538153467                                 3.4352405456034036-863.9776244538957i
151                                               859.6451144170225                                 4.407500077400159-859.6338154610504i
151.5                                             854.2025495550962                                 3.613661028191039-854.1949058150605i
152                                               849.152603682664                                  3.489629704157229-849.1454332595656i
152.5                                             844.0864994747591                                 3.4111355193394823-844.0796068796006i
153                                               838.8150081123497                                 3.346393529211429-838.8083329848773i
153.5                                             833.0788063572461                                 3.2874963421871413-833.0723197714674i
154                                               826.3791252109565                                 3.2308735260798644-826.3728093546425i
154.5                                             817.4776169097192                                 3.175183550054506-817.4714504848577i
155                                               801.4323938106102                                 3.3142172546084923-801.4255410286063i
155.5                                             745.499160370755                                  3.307995319574707-745.4918210687937i
156                                               936.0671334749817                                 4.867662524444805-936.0544771719311i
156.5                                             854.0661705462927                                 3.3831654313020847-854.0594697462664i
157                                               836.1015902680384                                 3.2499041971968583-836.0952740994604i
157.5                                             830.000643012452                                  3.1291405871083606-829.9947444895479i
158                                               822.4818493572931                                 3.07221808676524-822.4761115061157i
158.5                                             816.878812397951                                  3.0263375522127105-816.873206456i
159                                               812.0093279893562                                 2.9811589939058303-812.0038555529025i
159.5                                             807.2763479046906                                 2.844010630623382-807.2713382065958i
160                                               803.4858382332804                                 2.9586442822560115-803.4803909651115i
160.5                                             799.4462850107451                                 2.917133413949542-799.4409627671869i
161                                               795.5035951960625                                 2.8870494814094916-795.4983563246078i
161.5                                             791.43857821191                                   2.866530567178711-791.4333870166188i
162                                               788.5772535876807                                 2.7983928664534905-788.5722882990844i
162.5                                             792.9763268118774                                 3.5480935730638388-792.9683889765431i
163                                               782.0036351788378                                 2.801952266353293-781.9986154056886i
163.5                                             777.9772603189464                                 2.7464278343002158-777.972412561991i
164                                               775.3439357087282                                 2.8748326436097105-775.3386060151859i
164.5                                             771.3683553699785                                 2.778969958368959-771.3633495261205i
165                                               767.8161932082871                                 2.7542680154043437-767.8112532130309i
165.5                                             764.3208561888077                                 2.7382345815940927-764.3159512116493i
166                                               760.8395081662179                                 2.7265572336429496-760.8346226823961i
166.5                                             757.3485714701512                                 2.7185659287084225-757.3436921947459i
167                                               753.8112342720977                                 2.7162103751564253-753.8063405915483i
167.5                                             749.986183577258                                  2.7471210285980097-749.981152351734i
168                                               747.377753927697                                  2.6381665141788146-747.3730976851205i
168.5                                             743.5112803210778                                 2.64325160404314-743.5065818038507i
169                                               739.7607466127778                                 2.6464920420207183-739.7560126886202i
169.5                                             735.9720786373596                                 2.5821248014398877-735.9675489892917i
170                                               732.0027423609312                                 2.5123418877821293-731.9984309834022i
170.5                                             727.762270448974                                  2.424444120694646-727.7582320796868i
171                                               723.1812000655898                                 2.333449051071656-723.1774354498574i
171.5                                             717.9636332377235                                 2.2442618531274734-717.9601255923945i
172                                               711.7289647839523                                 2.1682799855735775-711.7256619473128i
172.5                                             703.4860085969058                                 2.1101551258517772-703.482843811383i
173                                               690.1850916600563                                 2.084831884241792-690.181942842476i
173.5                                             654.961142280371                                  2.2611325504918676-654.9572391971841i
174                                               1055.3720233114875                                15.54204769526485-1055.2575763016446i
174.5                                             760.3218691733967                                 4.353354204448958-760.3094061304901i
175                                               704.4402287169404                                 7.557076149134229-704.3996922450006i
175.5                                             737.9734183505877                                 36.282639089744066-737.0809564035249i
176                                               717.3786085958434                                 4.887075246266924-717.3619620292434i
176.5                                             699.552018313068                                  3.12583633630507-699.5450346282829i
177                                               772.4969239537311                                 6.808526503487634-772.4669193466008i
177.5                                             678.5387119560309                                 4.301314550949096-678.525078619857i
178                                               702.4073037527858                                 2.5776063169443346-702.4025742485096i
178.5                                             690.4416841416615                                 2.5141042968819574-690.4371068243352i
179                                               678.9770095527577                                 2.5337619283085924-678.9722818729026i
179.5                                             661.6645027392505                                 2.8084828437382345-661.6585423081123i
180                                               613.3494015209881                                 5.447462850698381-613.3252102226392i
180.5                                             679.7978058841932                                 3.9078661363431633-679.7865734678963i
181                                               1241.5266549226965                                27.01538794471145-1241.232695225894i
181.5                                             739.944675167266                                  2.666511078087538-739.9398705483178i
182                                               676.331255517206                                  3.5091314126848756-676.3221519262908i
182.5                                             724.1715052598742                                 2.349904612280118-724.1676925813973i
183                                               704.7969314238163                                 2.185477053790296-704.7935429857988i
183.5                                             695.4249730593161                                 2.1654318835736777-695.421601662839i
184                                               688.4822333211469                                 2.175567178817401-688.4787959743746i
184.5                                             682.0810410204293                                 2.1794249733380684-682.0775590988889i
185                                               660.937178670214                                  3.312377062999999-660.9288784027635i
185.5                                             678.7284433649679                                 2.2277911479646932-678.7247872144007i
186                                               673.0586806920311                                 2.284689581934861-673.054803005232i
186.5                                             668.620437212144                                  2.3682949546559113-668.6162428753629i
187                                               675.5193410328485                                 8.055743575269334-675.4713059078848i
187.5                                             662.4067942187403                                 2.6683440988274305-662.4014198104642i
188                                               658.8447941253672                                 2.813444360925173-658.8387870161604i
188.5                                             655.5771756846558                                 2.9785821118649958-655.570409130303i
189                                               652.4573728714672                                 3.1250550876817864-652.449888838243i
189.5                                             649.4092136968054                                 3.208654935466743-649.4012868541363i
190                                               646.3174309285774                                 3.1778844518845593-646.3096181958975i
190.5                                             642.9187288006639                                 2.959472396528095-642.9119172684511i
191                                               638.0217195983072                                 2.349020280441822-638.0173953607401i
191.5                                             623.1620941003039                                 27.7809331163662-622.5425409388984i
192                                               639.4683202574016                                 6.40044051692968-639.4362884400697i
192.5                                             634.2652490856242                                 5.7745735466651-634.2389616682367i
193                                               642.0957861978842                                 4.16969927314604-642.0822472713683i
193.5                                             628.9498944738513                                 2.900240785332159-628.9432075808243i
194                                               632.0213509514681                                 2.3004146253285263-632.0171644433958i
194.5                                             627.6527882704893                                 2.3859561369248747-627.6482532733062i
195                                               622.2523400810609                                 2.1987144584572027-622.2484555152278i
195.5                                             617.2555601099807                                 2.421479828249755-617.2508103859625i
196                                               614.9856632310883                                 2.4725614399466433-614.9806927210864i
196.5                                             613.3588692282653                                 2.3879071769560887-613.3542209525345i
197                                               609.1233074634113                                 2.468479439127386-609.1183056717505i
197.5                                             606.0223073903561                                 2.5649588457203047-606.0168793365833i
198                                               601.4621990315958                                 2.330195530261769-601.4576851722103i
198.5                                             595.260649143102                                  2.07087702439312-595.2570469021068i
199                                               544.2360582822178                                 15.25914711480671-544.0221002531921i
199.5                                             606.3557411749363                                 3.4942333525148466-606.3456730191817i
200                                               593.8774434790332                                 3.093067075974081-593.8693886783994i
200.5                                             591.128509960238                                  3.518135817978351-591.1180406722311i
201                                               581.7764197817406                                 3.2723122140432768-581.7672168374855i
201.5                                             568.2332194898249                                 4.629546208489294-568.2143601086433i
202                                               601.5568425115245                                 478.50820688911017-364.5552505618367i
202.5                                             579.0798106672783                                 2.710582042598363-579.0734667271857i
203                                               700.4459155766668                                 366.2190305875162-597.0829944685872i
203.5                                             592.8271073708238                                 2.078683774027462-592.8234630203378i
204                                               566.6844795509327                                 1.6481488930320258-566.6820828022868i
204.5                                             408.38935672464066                                8.872696455762984-408.29296092826496i
205                                               615.6553340349301                                 2.8386587518448816-615.6487897674712i
205.5                                             589.7442018952763                                 2.210364697616764-589.7400596508601i
206                                               577.2745113972411                                 2.0705984615397313-577.2707979197756i
206.5                                             565.4569029686558                                 1.9819520204026844-565.4534295422503i
207                                               542.9076949083961                                 1.8036697672932926-542.9046987880273i
207.5                                             516.5935939369567                                 2.870817959786759-516.5856170093618i
208                                               634.4813562896578                                 4.174588189396664-634.4676227299645i
208.5                                             580.3486918408158                                 2.7174388077331915-580.3423297052116i
209                                               612.8035511156444                                 20.882093860121774-612.4476552457045i
209.5                                             521.7613059891512                                 16.76825226291909-521.4917891429852i
210                                               557.3989113048624                                 1.7637648691168861-557.3961207770757i
210.5                                             506.9299930854126                                 2.789118921481229-506.9223201884272i
211                                               774.634507725281                                  6.785343303399039-774.6047893442458i
211.5                                             608.0747797864243                                 2.072131640587758-608.0712491828342i
212                                               579.8206707072336                                 5.472779944533103-579.7948420424805i
212.5                                             572.4973261680958                                 8.95723279022353-572.4272499194643i
213                                               576.4183914420162                                 4.934692260333252-576.3972682142909i
213.5                                             569.9415943570284                                 2.516015562339969-569.9360408360938i
214                                               561.8522155162715                                 2.143674654444434-561.8481260443241i
214.5                                             556.3919391868463                                 2.097359718539766-556.3879860981098i
215                                               551.5932952839615                                 2.440715184377482-551.5878953635661i
215.5                                             546.793957024449                                  1.411403463870692-546.7921354397091i
216                                               540.3926778422073                                 1.457507116080401-540.3907122984981i
216.5                                             526.645765788235                                  6.565026397466638-526.6048452597803i
217                                               508.89370221444113                                1.7493062021269186-508.8906956128511i
217.5                                             629.0462630428547                                 5.199333238496119-629.0247753324628i
218                                               558.1982974088243                                 1.515855937737191-558.1962391586728i
218.5                                             545.1942555349655                                 1.7275195189636223-545.1915185919869i
219                                               537.5508347206201                                 3.191110591490245-537.541362801067i
219.5                                             534.2813743879082                                 9.003596054709675-534.2055056585581i
220                                               530.5890963234174                                 4.561221340199125-530.5694906392436i
220.5                                             527.801099488013                                  6.559840794982281-527.7603330201124i
221                                               525.7653045287884                                 6.162386686452626-525.7291892567657i
221.5                                             517.0738447999742                                 4.071351874173355-517.0578159840004i
222                                               525.7468262640393                                 14.949307802256603-525.5342458136704i
222.5                                             514.3835325197208                                 3.8336733982787234-514.3692462382855i
223                                               530.5019012463433                                 8.696358406438586-530.4306180608843i
223.5                                             517.6695558780721                                 5.039320951464533-517.6450273376038i
224                                               510.0636585377076                                 3.8763607042502835-510.0489286221095i
224.5                                             493.39322584389686                                2.1228088256345385-493.38865916368246i
225                                               471.86000676483917                                2.5356255181382483-471.85319389333995i
225.5                                             562.7904936244335                                 10.987893477779469-562.6832198590557i
