% Model:              biconAndDipole_fullFeature_addCablesV1_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 2 2022, 12:52
% Table:              Table 8 - s22
% freq (MHz)                                      abs(emw.S22) (1)                                  S22 (1)
204                                               0.9994998474521535                                0.9840581611531496-0.17501280103112477i
204.5                                             0.9947811900645848                                0.9654123237900276-0.23993470191002061i
205                                               0.999265254534984                                 0.9861701961473893-0.161243273197632i
205.5                                             0.999378193907334                                 0.9851138415081111-0.16824830972885615i
206                                               0.9993924613863419                                0.9845096137617433-0.17183163936409895i
206.5                                             0.9993941218040914                                0.9838875357073067-0.17536797819549166i
207                                               0.9994023746564545                                0.9825918314939209-0.1825332823086857i
207.5                                             0.9989437791471906                                0.9804022055569773-0.19157293450768415i
208                                               0.9989789344609413                                0.9866485237877218-0.15647236818118082i
208.5                                             0.9992084229211696                                0.9844845141636989-0.17090264424073953i
209                                               0.9945001944176316                                0.9813615026233696-0.16112181064495618i
209.5                                             0.9939240295842089                                0.9758535829288006-0.1886657395234593i
210                                               0.9994459862855856                                0.9834905612120741-0.17787241356974468i
210.5                                             0.9989346464904959                                0.9796864590436224-0.19515345225145447i
211                                               0.9988835597285688                                0.9905955789749014-0.12840858542713285i
211.5                                             0.9994525059066686                                0.9860284779819847-0.16325793142034523i
212                                               0.99839442939064                                  0.9836568739957167-0.17091106131329414i
212.5                                             0.9973004128638359                                0.9822051338085617-0.17286176158561797i
213                                               0.9985359615299821                                0.9836228759912177-0.17193052170970566i
213.5                                             0.9992406401085582                                0.9839777222605914-0.17398189256189686i
214                                               0.9993354755721416                                0.9836318040554387-0.1764649165914902i
214.5                                             0.9993371320567341                                0.9833261743542892-0.1781694090946493i
215                                               0.9992136406589047                                0.9829272714603038-0.1796715856734868i
215.5                                             0.9995409372765411                                0.9829641590421154-0.18128305858599447i
216                                               0.9995142325420086                                0.9825462209477472-0.1833892711020494i
216.5                                             0.9976658504330402                                0.9798440631777994-0.18773055418738344i
217                                               0.9993401712541863                                0.9802307318025832-0.1944954763281618i
217.5                                             0.9987041345114733                                0.9861648302797946-0.15776208609654896i
218                                               0.9995264742018185                                0.9836150296367522-0.17763627473860652i
218.5                                             0.9994327998777686                                0.9827612715195096-0.1817861509380525i
219                                               0.9989147061673502                                0.9817791071024995-0.1842291373654625i
219.5                                             0.9968871178106227                                0.9795823847999333-0.18493857641510486i
220                                               0.998404334336046                                 0.9808297501839343-0.18650527063631298i
220.5                                             0.9976778352417642                                0.9799330628214202-0.18732926979552136i
221                                               0.9978020997918049                                0.9799183523723816-0.18806661860290858i
221.5                                             0.9985014427414719                                0.9800027315431861-0.1913106827249717i
222                                               0.9946633307509651                                0.9768462460686658-0.18742079148845686i
222.5                                             0.9985746482765999                                0.9798822563522485-0.19230728500699523i
223                                               0.9969508116176945                                0.9793994255455042-0.1862463047319766i
223.5                                             0.998147606960649                                 0.9796981814001468-0.1910238693004497i
224                                               0.9985342704849284                                0.9795277506147152-0.19389707349143845i
224.5                                             0.9991461818844671                                0.9788336671370136-0.2004438695830204i
225                                               0.9988834007941602                                0.9767017824192018-0.20933627636236643i
225.5                                             0.996572909162979                                 0.9809700033466163-0.17565709724261908i
226                                               0.9981367760826556                                0.979823259286495-0.19032447117979123i
226.5                                             0.9591872679593146                                0.9022709115169175-0.32549564858179736i
227                                               0.9977899029468136                                0.9791178631073018-0.1921273030227685i
227.5                                             0.9987182776801903                                0.9801232193244216-0.19182458943946032i
228                                               0.9984447524402316                                0.9786336108781324-0.19790952310352164i
228.5                                             0.9988050020314841                                0.9798701456332155-0.19356117839033263i
229                                               0.9988233873340734                                0.9794009947350271-0.19601492442554427i
229.5                                             0.998993239199446                                 0.9793127427777597-0.19731711481598113i
230                                               0.9936291496681203                                0.975282317079912-0.19006127712248447i
230.5                                             0.9985826797926446                                0.9785439810560067-0.1990453353407735i
231                                               0.998644295094619                                 0.9781741165272771-0.2011611937753142i
231.5                                             0.998450093101015                                 0.977337180181961-0.2042415840307712i
232                                               0.9980200872003238                                0.9750464733378653-0.21290483622203923i
232.5                                             0.9992054456064423                                0.9804656322444525-0.19261014126222684i
233                                               0.999135635457739                                 0.978786911355683-0.2006195409234663i
233.5                                             0.9986567482939966                                0.9769057324863414-0.20729324819796663i
234                                               0.9988397582249019                                0.9783568624142646-0.201242918826219i
234.5                                             0.998788605004966                                 0.9777899634149653-0.2037289005829238i
235                                               0.9992625892938951                                0.978005943147501-0.20501243262423563i
235.5                                             0.9991063128524751                                0.9774967774971445-0.20667238413577624i
236                                               0.9993197944420045                                0.9773198788274576-0.20853274565950955i
236.5                                             0.9988549545897574                                0.9766626501633419-0.20938311317874708i
237                                               0.9989138872250926                                0.9763226987676716-0.21124143050584415i
237.5                                             0.9988459284051365                                0.9757426946206299-0.21358694385657404i
238                                               0.9985223588888246                                0.974505727560777-0.21768208045712714i
238.5                                             0.9929717980817052                                0.960543364188195-0.25169314114540237i
239                                               0.9986917522342514                                0.97627462567416-0.21041167088709242i
239.5                                             0.9735468765826393                                0.9492829790095892-0.2159984876486233i
240                                               0.9884366661341142                                0.9669600450982146-0.2049275826773473i
240.5                                             0.9975033849376668                                0.9767614849521519-0.20236107450834045i
241                                               0.9992599306801598                                0.9766642627612201-0.2112991408122624i
241.5                                             0.9994718041112177                                0.9761670689172697-0.2145733925136076i
242                                               0.9995379296033781                                0.9756456074707832-0.21723655617499985i
242.5                                             0.9995508543549255                                0.9750110239835101-0.2201259038647851i
243                                               0.9994367838990742                                0.9745130536657027-0.22180665735200997i
243.5                                             0.9995056723308381                                0.9729958053691041-0.22867171175212986i
244                                               0.9671478002418366                                0.8950092651776983-0.36651505120349415i
244.5                                             0.9994414571114091                                0.9748731665056994-0.22023972262089206i
