% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:45
% Table:              Table 10 - s22
% freq (MHz)                                      abs(emw.S22) (1)                                  S22 (1)
143.5                                             0.9994851395996217                                0.9933392416888848-0.11066930559747201i
144                                               0.999521589637458                                 0.9932636400942452-0.11167250967951185i
144.5                                             0.9995663399734396                                0.9931260962340165-0.11328470764794646i
145                                               0.9982356176050964                                0.9906857616103443-0.12254007506918013i
145.5                                             0.9991424861352635                                0.991673289547168-0.12194176642665855i
146                                               0.9992681151975523                                0.9932614104327792-0.10940080710650595i
146.5                                             0.9993616502485079                                0.9930397749881706-0.11223062540529825i
147                                               0.9993605251855011                                0.9927320319860837-0.11491114814421541i
147.5                                             0.9986617674111595                                0.9901175834348865-0.13035527094000254i
148                                               0.9995396437925185                                0.9938244810797902-0.10673518782182656i
148.5                                             0.9995150797016923                                0.9933653777235311-0.11070510779212817i
149                                               0.9995326480472455                                0.99320419520999-0.1122984466927958i
149.5                                             0.9995365842641261                                0.9930915104791992-0.11332535063497104i
150                                               0.9995449620511138                                0.9930035734893639-0.11416669478931224i
150.5                                             0.9995610291743499                                0.9929259790290713-0.11497935124728187i
151                                               0.9994639125579325                                0.992771350222407-0.1154692975781419i
151.5                                             0.9995168433486488                                0.9927395498827873-0.11619856383005855i
152                                               0.9995274983309402                                0.9926698022769489-0.11688406036389583i
152.5                                             0.9995327559667582                                0.9925930654326861-0.11757864051538605i
153                                               0.9995360637154879                                0.9925095847220619-0.11830920041438947i
153.5                                             0.9995382055252845                                0.9924155097472157-0.11911372850297232i
154                                               0.9995391035805752                                0.9923019713076372-0.12006338878124724i
154.5                                             0.9995378245379224                                0.992145016367474-0.12134302278741597i
155                                               0.999521962083759                                 0.9918476267101288-0.12362215852043812i
155.5                                             0.9994193446482033                                0.9905851798183891-0.13258969786983377i
156                                               0.9993614576223762                                0.9939871536886856-0.10350295301577499i
156.5                                             0.9995380051363101                                0.9927869526002339-0.11597538729668108i
157                                               0.9995446531181075                                0.9924973801300864-0.11848402428982847i
157.5                                             0.9995619898185669                                0.9923894720535059-0.11952952458458374i
158                                               0.9995562922745534                                0.992246472629236-0.1206636605631169i
158.5                                             0.9995562796597302                                0.9921469679567093-0.12147901127976476i
159                                               0.9995570013133696                                0.9920594367435533-0.12219767936683204i
159.5                                             0.9995609454123262                                0.991980307704795-0.12287047130813734i
160                                               0.9995525131069671                                0.9918955340614566-0.1234847195704458i
160.5                                             0.9995544050967339                                0.9918202805757819-0.12410294028290789i
161                                               0.9995545594508713                                0.9917440637419883-0.12471178513497669i
161.5                                             0.99955343032659                                  0.9916639583078326-0.12533815808002982i
162                                               0.9970859841227662                                0.9897426447885286-0.12078889361639834i
162.5                                             0.9995708414725241                                0.9914947756666135-0.126806848978679i
163                                               0.9995465432280513                                0.9914679437953705-0.12682510991647747i
163.5                                             0.9995538108957907                                0.9913676598753336-0.12766355717119449i
164                                               0.9995440034020409                                0.9913228399879395-0.12793452096766283i
164.5                                             0.9995429422870677                                0.9912396625880334-0.12856914399750063i
165                                               0.9995464538003703                                0.9911701208581624-0.12913134717376593i
165.5                                             0.9995439768620367                                0.9910905911743172-0.12972124639748944i
166                                               0.9995416538198634                                0.9910112338608321-0.13030829629221113i
166.5                                             0.9995391034574416                                0.9909308078391885-0.13089901991871208i
167                                               0.9995363532596399                                0.9908489651459298-0.1314961967389914i
167.5                                             0.9995336024717663                                0.9907655779930072-0.1321022026098318i
168                                               0.9995312622841765                                0.9906806889338473-0.1327196928001156i
168.5                                             0.9995301447883567                                0.9905946753743158-0.13335178836703745i
169                                               0.9995256414744289                                0.9905014755015538-0.1340087123813729i
169.5                                             0.999533311799954                                 0.9904172770858778-0.13468651991784286i
170                                               0.9995414156580679                                0.9903273399579438-0.1354060609705402i
170.5                                             0.9995527065921986                                0.9902320462341729-0.13618409549823648i
171                                               0.9995644546328483                                0.9901264910065832-0.13703514429683294i
171.5                                             0.9995753460822157                                0.9900012403897558-0.13801600096411337i
172                                               0.9995827576376172                                0.9898423337867729-0.1392043232445679i
172.5                                             0.999584576521949                                 0.9896180600281171-0.14080277300802735i
173                                               0.9995738467281392                                0.9892267267074434-0.1434515884560592i
