% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:45
% Table:              Table 8 - tickle Z
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              Lumped port impedance (Ω)
133.5                                             986.8957770242263                                 5.3641558101487385-986.8811987978572i
134                                               982.1061360714469                                 5.440219154657437-982.0910683458723i
134.5                                             977.3730417951044                                 5.518830004699771-977.3574603711756i
135                                               972.6588138551592                                 5.593526882235453-972.6427302083448i
135.5                                             967.9179475574649                                 5.656337779264557-967.9014201078446i
136                                               963.0766931980578                                 5.696147332213094-963.0598480296412i
136.5                                             957.9911059374125                                 5.70002970654094-957.9741482506358i
137                                               952.3048338327985                                 5.647616128179955-952.2880871739301i
137.5                                             944.7210356578221                                 5.484906002505049-944.7051132604987i
138                                               916.0898612261543                                 4.54988881381625-916.0785623259267i
138.5                                             1113.06809296763                                  287.4817780421093-1075.302193281658i
139                                               950.6508780410403                                 4.891445805209996-950.6382938205969i
139.5                                             939.8980680635638                                 4.1947675446597055-939.8887073876704i
140                                               924.817731743766                                  5.682938722675665-924.8002709532251i
140.5                                             934.9140053688285                                 7.781127070261927-934.8816243227279i
141                                               927.4195967535513                                 5.715988454341057-927.4019818387868i
141.5                                             920.6929063409527                                 4.832706778243304-920.6802228416476i
142                                               933.7270548516522                                 14.96577154496861-933.6071115003377i
142.5                                             913.5964381824873                                 5.183252546869977-913.5817345770233i
143                                               907.0483406372244                                 4.645873877909494-907.0364425471851i
143.5                                             900.335847950749                                  4.278191950295454-900.3256833939764i
144                                               892.2316944645183                                 3.9105231702372354-892.2231247930982i
144.5                                             879.4947104793694                                 3.4525826649449503-879.4879336489679i
145                                               811.4502243565172                                 11.745769383407662-811.3652096989579i
145.5                                             816.2726326800093                                 5.8121363538044895-816.251940232523i
146                                               910.6298079304571                                 6.182512723549361-910.6088203108316i
146.5                                             887.6174075200923                                 5.135120952773532-887.6025533229893i
147                                               866.7782604799213                                 4.9060575798640365-866.7643759636303i
147.5                                             762.7856934881481                                 7.890261040486075-762.74488393624i
148                                               933.775296458041                                  4.124073288460675-933.7661893080161i
148.5                                             900.0711270381936                                 4.032259462889883-900.0620948642533i
149                                               887.2374357869563                                 3.7796320443277276-887.2293851329672i
149.5                                             879.1499760982391                                 3.6807170210539923-879.1422710777507i
150                                               872.6366679335756                                 3.562516277535838-872.6293959637079i
150.5                                             866.4428307786383                                 3.39120828577632-866.4361942544082i
151                                               862.6543752267054                                 4.08721399068899-862.6446926629594i
151.5                                             857.2512759413584                                 3.6458404890017166-857.243523131097i
152                                               852.198840873661                                  3.52544873730239-852.1915486541814i
152.5                                             847.1344330781346                                 3.445931341147644-847.1274244550253i
153                                               841.8696713092314                                 3.3798404693307047-841.8628867866282i
153.5                                             836.1450036166082                                 3.319153725815843-836.1384157491881i
154                                               829.4846021923789                                 3.2604650528627945-829.4781941931253i
154.5                                             820.67209540365                                   3.2004481983898025-820.6658548432164i
155                                               805.4150639707536                                 3.1863260355605876-805.4087611873913i
155.5                                             750.4254769028622                                 3.348417776738198-750.418006502563i
156                                               962.9186200192264                                 6.042325209784359-962.8996620031552i
156.5                                             858.931100722264                                  3.5033677814079294-858.9239560066701i
157                                               840.6262223574832                                 3.3089576836867387-840.6197098058434i
157.5                                             833.2361224732449                                 3.1303797071645163-833.23024220028i
158                                               825.3427588805721                                 3.1105290638004024-825.3368974216149i
158.5                                             819.7622871685509                                 3.0688428660356752-819.7565429243473i
159                                               814.9056723256687                                 3.0279069428889924-814.9000469800546i
159.5                                             810.4131202328115                                 2.9687213887879347-810.4076826750825i
160                                               806.3440072391254                                 2.994155665382488-806.3384481979649i
160.5                                             802.2977354963008                                 2.952062235994447-802.2923044072198i
161                                               798.3504669281189                                 2.9222069363484175-798.3451188245385i
161.5                                             794.3283605557297                                 2.900104528600884-794.3230663759404i
162                                               822.1952550885824                                 19.876332080239507-821.9549676917921i
162.5                                             785.069018059823                                  2.725351670200779-785.0642875431848i
163                                               784.935291709278                                  2.8748087461483682-784.9300272287985i
163.5                                             779.7439232116197                                 2.792668073890161-779.7389221979863i
164                                               778.0708928446857                                 2.840391196586658-778.0657083241599i
164.5                                             774.1975683812548                                 2.8186848646171283-774.1924372551579i
165                                               770.8014729395674                                 2.7731496930682584-770.7964843761201i
165.5                                             767.264686149051                                  2.7625132582693297-767.2597129602855i
166                                               763.7767490550715                                 2.751173317978222-763.77179408676i
166.5                                             760.2982597971137                                 2.741088158101175-760.2933185858133i
167                                               756.8132643056281                                 2.731950755823921-756.8083333803932i
167.5                                             753.3088443890655                                 2.7225020460215585-753.3039247325071i
168                                               749.7711443212459                                 2.710320743201952-749.7662455847552i
168.5                                             746.1845381861016                                 2.6908174715517412-746.1796864893472i
169                                               742.4901719950215                                 2.689305848790634-742.4853016344823i
169.5                                             738.7253915952332                                 2.62015293044838-738.7207449274398i
170                                               734.769825720066                                  2.548318218598419-734.7654066863471i
170.5                                             730.5414190836657                                 2.4586357105909604-730.5372818051236i
171                                               725.9704614550336                                 2.3658668234689584-725.9666063803542i
171.5                                             720.7699156584341                                 2.2753684245669703-720.766324141742i
172                                               714.5628029637197                                 2.198484415014375-714.5594209340778i
172.5                                             706.3719068809597                                 2.139484646064106-706.3686667994925i
173                                               693.1886633118917                                 2.1126023523351223-693.1854440591118i
173.5                                             658.379070105545                                  2.2802949972306292-658.3751211944203i
174                                               1058.698737092974                                 15.622372835569974-1058.5834673700722i
174.5                                             742.2084973708534                                 2.773420954401593-742.2033156121777i
175                                               720.0827591337741                                 6.255960202001337-720.0555832459463i
175.5                                             741.2762520854641                                 35.590915865746695-740.4213453255584i
176                                               720.5060272009525                                 4.8424212311037245-720.4897543959388i
176.5                                             704.9212571074553                                 3.132889422313829-704.914295305339i
177                                               657.7091131620733                                 2.7644029095287914-657.7033036354575i
177.5                                             715.5238986287725                                 3.532865921031177-715.5151768951529i
178                                               705.4143824038205                                 2.6341221808997775-705.4094642847512i
178.5                                             693.5626288291727                                 2.5615211318564257-693.5578986053896i
179                                               682.1459035288362                                 2.5701321747433385-682.1410617473315i
179.5                                             664.9532035388756                                 2.8346451192994353-664.9471615727531i
180                                               624.0246581467649                                 4.677348179971534-624.0071284762619i
180.5                                             710.2240643219836                                 6.271692569763729-710.1963724311379i
181                                               1452.2273497831754                                53.6051856757954-1451.237664728603i
181.5                                             742.8601739254084                                 2.7206468547868137-742.8551918679573i
182                                               678.9208818917389                                 3.534843574029205-678.9116796384958i
182.5                                             726.7521931407501                                 2.3801012291892394-726.7482957345197i
183                                               707.3441169499596                                 2.2151969104143383-707.3406482638801i
183.5                                             697.9578733291798                                 2.1940199356005836-697.9544248865492i
184                                               691.0019326224684                                 2.202627260859436-690.9984220829567i
184.5                                             684.590677972943                                  2.2078920316556725-684.5871175973372i
185                                               668.4058089299672                                 2.795462435458274-668.3999631965098i
185.5                                             681.9320762330025                                 2.2643131681963524-681.9283169669154i
186                                               675.8935530406131                                 2.3152805270892878-675.8895875199921i
186.5                                             671.4698002181506                                 2.398255552741934-671.4655173389821i
187                                               660.5274207901141                                 5.772380643300819-660.5021977536103i
187.5                                             664.9194111432222                                 2.688102143400481-664.9139774601795i
188                                               661.3956836257971                                 2.8350599443992777-661.3896073827794i
188.5                                             658.1468140789219                                 3.0011183095461873-658.1399715646567i
189                                               655.0452565046606                                 3.1491269090200933-655.0376867547145i
189.5                                             652.0256981139509                                 3.237338128460136-652.0176612967067i
190                                               648.9925494591723                                 3.219346735924455-648.9845645777025i
190.5                                             645.7517213340369                                 3.037753981222951-645.7445761728248i
191                                               641.6359726997462                                 2.5542304532607023-641.6308887274217i
191.5                                             626.5513415197171                                 6.115204204999657-626.5214983044782i
192                                               641.882939645273                                  7.648666737256383-641.8373673328779i
192.5                                             636.6205331775898                                 5.481631019227108-636.5969329054985i
193                                               629.1812715813505                                 8.080465757168467-629.1293814326847i
193.5                                             637.9884605258173                                 2.2076619092678147-637.9846408754655i
194                                               631.0813946354667                                 2.5112910584046144-631.0763979680002i
194.5                                             624.7982204446735                                 3.139826387479385-624.7903310400116i
195                                               624.5925408772448                                 2.308626990957778-624.5882742742689i
195.5                                             620.1775642186954                                 2.3502502594947745-620.173110900458i
196                                               617.2512188518724                                 2.6298970655300837-617.2456162789225i
196.5                                             601.0633210975496                                 9.163371601345203-600.9934680091887i
197                                               612.2532408200025                                 2.5133076281315807-612.2480822177905i
197.5                                             608.666296824311                                  2.5513221484286515-608.6609496633698i
198                                               604.1905428647915                                 2.347865505169898-604.1859809817016i
198.5                                             598.2404950588974                                 2.081939823433467-598.2368723631854i
199                                               585.9719549342208                                 2.1572778848790435-585.9679838707572i
199.5                                             616.8179925650716                                 4.120694362486117-616.804228122648i
200                                               597.3892899912781                                 3.174082208728968-597.3808575761493i
200.5                                             618.2448870942925                                 14.914900337821653-618.0649530317564i
201                                               584.1780366002091                                 3.282763520362388-584.1688128527101i
201.5                                             569.802153033649                                  4.795388894451055-569.7819739576998i
202                                               389.6162789992255                                 215.8170531195292-324.3822505070286i
202.5                                             583.1638101074244                                 2.528026872824386-583.1583305579527i
203                                               460.4003442290432                                 223.01017375409478-402.78398598801056i
203.5                                             596.0433655721671                                 2.138266903344351-596.0395301129331i
204                                               569.2647982441218                                 1.671224414783396-569.2623450825429i
204.5                                             414.1794410003099                                 8.259239068463735-414.097083203129i
205                                               619.0924188558454                                 2.8637287161599483-619.085795461842i
205.5                                             592.7710475237024                                 2.23130157644776-592.7668479896817i
206                                               580.2735978347026                                 2.089074164428952-580.2698373284327i
206.5                                             568.518526333473                                  1.9958135773420955-568.5150231194848i
207                                               545.734933163034                                  1.820704604292699-545.731895997664i
207.5                                             536.0778799470287                                 2.8759049548187376-536.0701656865375i
208                                               636.244629816628                                  4.091423139330182-636.2314745650305i
208.5                                             600.5244819840564                                 4.0980759132592315-600.5104988557889i
209                                               645.3252928688458                                 12.839109039646031-645.1975595856898i
209.5                                             547.329616263141                                  5.317256907209726-547.3037873226714i
210                                               574.6712214810907                                 2.8824867892714354-574.6639923194061i
210.5                                             519.4490708533908                                 1.7211895255338057-519.4462192730526i
211                                               834.7590743182359                                 9.950744211261647-834.6997632959291i
211.5                                             612.0783369953859                                 2.2867536333779106-612.0740652705827i
212                                               586.7490829329947                                 3.1938241719831315-586.7403904708357i
212.5                                             575.3774747218553                                 1.7779512704688825-575.3747277267042i
213                                               586.4386150233805                                 7.6329536809169864-586.3889385115017i
213.5                                             572.9338462011815                                 2.6356154762497117-572.9277839779988i
214                                               564.8750470338691                                 2.1847578026007706-564.8708220424028i
214.5                                             559.3734504961358                                 2.1343030144800283-559.369378738768i
215                                               554.7139853561686                                 2.4508106391872047-554.708571302927i
215.5                                             550.7500879674126                                 1.4230296154361035-550.748249550397i
216                                               545.1873072789538                                 1.5233850859540072-545.1851789217644i
216.5                                             540.8862592812933                                 1.673120650905581-540.8836715474021i
217                                               530.4023622791876                                 1.412217646577278-530.4004822326817i
217.5                                             493.1504998738042                                 2.43531770937778-493.14448669070345i
218                                               585.6747904082163                                 2.359400347872621-585.6700379477394i
218.5                                             550.5216775924712                                 2.127026030666954-550.5175685293736i
