% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:43
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              (emw.Vport_1) (V)
102.5                                             0.0072832021983939696                             0.0062718808491593276-0.003702505216287916i
103                                               0.0010009424943773055                             8.621531909803547E-4-5.085054103278096E-4i
103.5                                             0.0016036096938810065                             0.0013679247329114951-8.368667608395913E-4i
104                                               0.0017924025256393363                             0.0015116487696747532-9.631328107063307E-4i
104.5                                             0.001892524945280933                              0.001577131336138383-0.0010460914955590437i
105                                               0.0019602542943954896                             0.001613231231609321-0.0011135896425776561i
105.5                                             0.00201626306527237                               0.001637292837833029-0.0011766855618907713i
106                                               0.002014581874227742                              0.001618189537352734-0.0012000011454865805i
106.5                                             0.0020779972499473053                             0.0016428832328596128-0.0012724021589015444i
107                                               0.0021131917031538446                             0.001645682197370783-0.001325635424819025i
107.5                                             0.0021429032290318987                             0.0016427823266080166-0.001375972556550344i
108                                               0.0021661799767053154                             0.0016334728253256743-0.0014227094645083375i
108.5                                             0.002170100661322116                              0.0016086963924026604-0.0014565139193778239i
109                                               0.001661899547320226                              0.001483704046751263-7.486871222594241E-4i
109.5                                             0.0023564584627876104                             0.001687631309918043-0.0016446267201488788i
110                                               0.002354126489501859                              0.0016492509418051093-0.0016798460820948167i
110.5                                             0.0023747487531419523                             0.0016275662074042784-0.001729294619509617i
111                                               0.0024025210076602634                             0.0016089693351290012-0.001784187453958644i
111.5                                             0.0024419834150209204                             0.0015955839304645156-0.0018486197337691287i
112                                               0.002579126547839034                              0.0016401229739276104-0.0019904497934293505i
112.5                                             0.0020946737187422537                             0.0012957154650405469-0.001645836997288693i
113                                               0.0021197554977459084                             0.001272798174724839-0.0016950953296617631i
113.5                                             0.0011491820966249963                             6.746440810014802E-4-9.303090105836287E-4i
114                                               0.0036694673017630083                             0.002067518405754401-0.0030315603112217103i
114.5                                             0.003080237332722619                              0.001662837503771635-0.002592842737604553i
115                                               0.0014921227524661452                             9.843798064316882E-4-0.0011213503935508548i
115.5                                             0.00302192284195934                               0.0014863732112528557-0.0026311047754936498i
116                                               0.0030225808719072816                             0.0014067003579321155-0.0026752923635022475i
116.5                                             0.00304416711712255                               0.0013300025661829938-0.0027382561258795473i
117                                               0.003074008110452129                              0.0012479614309569087-0.0028092913928550473i
117.5                                             0.0031072955858124783                             0.0011562778883675532-0.0028841475868065392i
118                                               0.003140962050041514                              0.001051420310416035-0.002959756397179612i
118.5                                             0.0031721468633987755                             9.296113617571434E-4-0.003032876265043254i
119                                               0.0031974813798753103                             7.865723443263573E-4-0.003099224277426572i
119.5                                             0.0032123518111604357                             6.172974605800192E-4-0.0031524828316466993i
120                                               0.0032098708504423325                             4.160650651683603E-4-0.003182791343783917i
120.5                                             0.003179107122192258                              1.769654684003042E-4-0.0031741778963012457i
121                                               0.003101584067683212                              -1.042147536046805E-4-0.0030998327396873295i
121.5                                             0.0029424139539444448                             -4.246512008761594E-4-0.0029116097324266206i
122                                               0.0026054885021239084                             -7.590539454704057E-4-0.0024924701487812643i
122.5                                             0.004464395532654583                              5.141384860868661E-4-0.004434691543851782i
123                                               0.0019710349688406145                             -0.0010897236308836623-0.0016424010645047238i
123.5                                             9.533156234946004E-4                              -7.175287072463003E-4-6.276649044485057E-4i
124                                               2.636076880522938E-4                              2.4191704260720495E-4+1.0471464891054746E-4i
124.5                                             0.0015248413139158266                             0.0015110149492674014+2.0487766036094912E-4i
125                                               0.002626495021888439                              0.002607630723343898-3.142262094061069E-4i
125.5                                             0.0034925309667118193                             0.003302759648059349-0.0011355841054681423i
126                                               0.004157930821851404                              0.0036462258618173205-0.0019983557450855526i
126.5                                             0.004687555939052664                              0.0037620506735642533-0.0027964540781644617i
127                                               0.005136611800423065                              0.0037462815243972866-0.003514278806270928i
127.5                                             0.005545277904557525                              0.0036560377281632923-0.0041693518883659225i
128                                               0.005945354829644545                              0.0035227650726800514-0.004789297473855975i
128.5                                             0.0063651243943706705                             0.003363010015328316-0.0054041624876213735i
129                                               0.006862632390477999                              0.0031958563914829046-0.006073073789429505i
129.5                                             0.00761880353162649                               0.0030718837385379765-0.006972065515356996i
130                                               0.010948064018929681                              0.0036482672839373512-0.010322318130513857i
130.5                                             0.0052353721071007175                             0.0014801191697511446-0.005021789356707765i
131                                               0.006804383536959951                              0.001470247898973785-0.006643644062832896i
131.5                                             0.007343356564344                                 0.001038334854907267-0.007269576766234663i
132                                               0.009068865019709299                              0.002035109319361401-0.008837569960342906i
132.5                                             0.008248005745414089                              -2.2195365860564847E-4-0.008245018820464595i
133                                               0.00935406741496869                               -3.67650398842013E-4-0.009346839593574416i
133.5                                             0.009808886536650999                              -0.0011886940599313833-0.009736593938373781i
134                                               0.01028071197762814                               -0.0021022054548095657-0.010063487019553192i
134.5                                             0.010745533755105457                              -0.0031220044172508956-0.010282002922620508i
135                                               0.011183962926002848                              -0.004240436995105635-0.010348899498050297i
135.5                                             0.011573016542258023                              -0.005431937096052222-0.010219039645285147i
136                                               0.011884591108229548                              -0.006650427164425164-0.009849635746589045i
136.5                                             0.012082467253432034                              -0.007826090270642724-0.009205342253605172i
137                                               0.012111717490635953                              -0.008858430944846072-0.00825965506352235i
137.5                                             0.011801821871325412                              -0.00954179771951216-0.006945293065264229i
138                                               0.006919010449295395                              -0.006054665005270333-0.0033486918746599642i
138.5                                             0.054574572615722905                              0.0028406170264021285+0.05450059514443972i
139                                               0.008489757445361654                              -0.008230424612063877-0.0020823285490543563i
139.5                                             0.0056696789309244825                             -0.005668999663264281-8.776102596511355E-5i
140                                               0.005777461270619719                              0.0046346299112635155-0.0034495310288693384i
140.5                                             0.018152124514457697                              -0.017612656773242898-0.004392487424719304i
141                                               0.013255646778441604                              -0.013239966981603178-6.445508830704789E-4i
141.5                                             0.010395933893688373                              -0.010366171575803192+7.860842085608104E-4i
142                                               0.029419831924762146                              -0.029257187380639576-0.0030892550971712085i
142.5                                             0.012027213555907676                              -0.011788569636905284+0.002384007515769227i
143                                               0.010220784071166404                              -0.009821236228417992+0.0028297961013152226i
